epoch,training_rmse
1,0.9510
2,0.9131
3,0.9084
4,0.9066
5,0.9057
6,0.9047
7,0.9024
8,0.8971
9,0.8901
10,0.8842
11,0.8795
12,0.8746
13,0.8690
14,0.8630
15,0.8573
16,0.8519
17,0.8467
18,0.8417
19,0.8370
20,0.8324

