similarity,k,rmse,user_id,n_ratings
cosine,5,0.812274,5717,384
cosine,10,0.818418,5717,384
cosine,20,0.833675,5717,384
cosine,40,0.852198,5717,384
msd,5,0.700349,5717,384
msd,10,0.722260,5717,384
msd,20,0.732260,5717,384
msd,40,0.768149,5717,384
pearson,5,0.665538,5717,384
pearson,10,0.638941,5717,384
pearson,20,0.656071,5717,384
pearson,40,0.698421,5717,384

